Game Date,Home Score,Away Score,Home Odds Close,Away Odds Close,Home Line Close,Away Line Close,Home Team,Away Team
WEEK13,14.00,27.00,3.75,1.28,7.50,-7.50,HST,CLV
WEEK13,27.00,22.00,1.64,2.35,-3.00,3.00,MIN,NYJ
WEEK13,20.00,20.00,2.20,1.71,2.50,-2.50,NYG,WAS
WEEK13,35.00,10.00,1.45,2.80,-4.50,4.50,PHI,TEN
WEEK13,10.00,24.00,2.70,1.50,4.00,-4.00,NE,BUF
WEEK12,17.00,24.00,1.71,2.20,-2.50,2.50,IND,PIT
WEEK12,40.00,33.00,1.35,3.30,-6.50,6.50,PHI,GB
WEEK12,26.00,10.00,1.07,9.00,-15.50,15.50,KC,LAR
WEEK12,13.00,0.00,1.23,4.25,-8.50,8.50,SF,NO
WEEK12,24.00,25.00,2.25,1.68,2.50,-2.50,ARZ,LAC
WEEK12,34.00,40.00,1.50,2.70,-4.00,4.00,SEA,LV
WEEK12,23.00,10.00,1.95,1.86,1.00,-1.00,CAR,DEN
WEEK12,23.00,17.00,2.55,1.57,3.00,-3.00,CLV,TB
WEEK12,28.00,27.00,2.65,1.54,3.50,-3.50,JAX,BLT
WEEK12,30.00,15.00,1.10,7.25,-14.00,14.00,MIA,HST
WEEK12,31.00,10.00,1.27,3.80,-7.50,7.50,NYJ,CHI
WEEK12,16.00,20.00,1.95,1.86,1.00,-1.00,TEN,CIN
WEEK12,19.00,13.00,1.54,2.65,-3.50,3.50,WAS,ATL
WEEK12,33.00,26.00,1.68,2.25,-2.50,2.50,MIN,NE
WEEK12,28.00,20.00,1.20,4.75,-10.00,10.00,DAL,NYG
WEEK12,25.00,28.00,4.50,1.22,9.50,-9.50,DET,BUF
WEEK11,10.00,38.00,4.50,1.22,10.00,-10.00,ARZ,SF
WEEK11,27.00,30.00,2.95,1.42,5.50,-5.50,LAC,KC
WEEK11,3.00,40.00,2.10,1.76,2.00,-2.00,MIN,DAL
WEEK11,30.00,37.00,2.60,1.55,3.50,-3.50,PIT,CIN
